,Region,x,y
0,Andhra Pradesh,-62.0,-143.0
1,Arunachal Pradesh,204.0,131.0
2,Assam,174.0,88.0
3,Bihar,48.0,65.0
4,Chhattisgarh,-12.0,-20.0
5,Goa,-168.0,-138.0
6,Gujarat,-209.0,22.0
7,Haryana,-113.0,145.0
8,Himachal Pradesh,-97.0,189.0
9,Jammu and Kashmir,-144.0,229.0
10,Jharkhand,41.0,22.0
11,Karnataka,-141.0,-153.0
12,Kerala,-122.0,-247.0
13,Madhya Pradesh,-91.0,15.0
14,Maharashtra,-151.0,-69.0
15,Manipur,203.0,57.0
16,Meghalaya,162.0,70.0
17,Mizoram,185.0,21.0
18,Nagaland,217.0,86.0
19,Odisha,32.0,-42.0
20,Punjab,-133.0,178.0
21,Rajasthan,-175.0,93.0
22,Sikkim,102.0,104.0
23,Tamil Nadu,-87.0,-231.0
24,Telangana,-74.0,-87.0
25,Tripura,162.0,35.0
26,Uttar Pradesh,-47.0,96.0
27,Uttarakhand,-70.0,162.0
28,West Bengal,110.0,18.0
29,Andaman and Nicobar Islands,98.0,-211.0
30,Chandigarh,-110.0,159.0
31,Dadra and Nagar,-219.0,-43.0
32,Daman and Diu,-219.0,-54.0
33,Delhi,-101.0,121.0
34,Lakshadweep,-222.0,-257.0
35,Pondicherry,-48.0,-219.0
