,Region,x,y
0,Alabama,147.0,-91.0
1,Alaska,-189.0,223.0
2,Arizona,-208.0,-41.0
3,Arkansas,68.0,-34.0
4,California,-292.0,6.0
5,Colorado,-115.0,7.0
6,Connecticut,294.0,95.0
7,Delaware,275.0,40.0
8,Florida,221.0,-148.0
9,Georgia,183.0,-79.0
10,Hawaii,-201.0,-172.0
11,Idaho,-205.0,115.0
12,Illinois,99.0,32.0
13,Indiana,139.0,37.0
14,Iowa,39.0,72.0
15,Kansas,-19.0,11.0
16,Kentucky,147.0,1.0
17,Louisiana,60.0,-120.0
18,Maine,322.0,169.0
19,Maryland,283.0,20.0
20,Massachusetts,295.0,108.0
21,Michigan,143.0,107.0
22,Minnesota,19.0,155.0
23,Mississippi,95.0,-81.0
24,Missouri,51.0,10.0
25,Montana,-149.0,170.0
26,Nebraska,-39.0,59.0
27,Nevada,-255.0,58.0
28,New Hampshire,315.0,124.0
29,New Jersey,281.0,69.0
30,New Mexico,-137.0,-45.0
31,New York,258.0,114.0
32,North Carolina,239.0,13.0
33,North Dakota,-41.0,164.0
34,Ohio,177.0,58.0
35,Oklahoma,-13.0,-36.0
36,Oregon,-297.0,140.0
37,Pennsylvania,229.0,73.0
38,Rhode Island,338.0,117.0
39,South Carolina,213.0,-52.0
40,South Dakota,-53.0,112.0
41,Tennessee,132.0,-28.0
42,Texas,-50.0,-104.0
43,Utah,-185.0,42.0
44,Vermont,284.0,148.0
45,Virginia,231.0,12.0
46,Washington,-269.0,191.0
47,West Virginia,205.0,28.0
48,Wisconsin,75.0,120.0
49,Wyoming,-132.0,92.0
